,Unnamed: 0,Unnamed: 0.1,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
288,288,288,AUS,HEALTHEXP,TOT,USD_CAP,A,2018,4793.46,D
290,290,290,BEL,HEALTHEXP,TOT,USD_CAP,A,2018,5358.892,
291,291,291,CAN,HEALTHEXP,TOT,USD_CAP,A,2018,5330.848,
294,294,294,FIN,HEALTHEXP,TOT,USD_CAP,A,2018,4379.886,
295,295,295,FRA,HEALTHEXP,TOT,USD_CAP,A,2018,5136.2,
300,300,300,IRL,HEALTHEXP,TOT,USD_CAP,A,2018,4897.59,
302,302,302,JPN,HEALTHEXP,TOT,USD_CAP,A,2018,4558.669,
303,303,303,KOR,HEALTHEXP,TOT,USD_CAP,A,2018,3091.826,
305,305,305,MEX,HEALTHEXP,TOT,USD_CAP,A,2018,1116.032,
308,308,308,NOR,HEALTHEXP,TOT,USD_CAP,A,2018,6536.761,
